Date,Product,Category,Price,Quantity
2025-01-05,Candle,Home Decor,12,100
2025-01-06,Soap,Body Care,8,150
2025-01-07,Perfume,Beauty,25,80
2025-01-08,Candle,Home Decor,12,90
2025-01-09,Soap,Body Care,9,130
2025-02-01,Candle,Home Decor,15,120
2025-02-03,Perfume,Beauty,30,70
2025-02-05,Soap,Body Care,10,160
2025-03-10,Candle,Home Decor,14,140
2025-03-11,Perfume,Beauty,28,100
2025-03-12,Soap,Body Care,8,170
2025-04-02,Candle,Home Decor,13,110
2025-04-05,Perfume,Beauty,27,85
2025-04-06,Soap,Body Care,7,180
